시군구명,폐교명,대지,담당자 전화번호,소재지지번주소,_X,_Y,건물연면적,이미지경로,이미지이름
광진구,서울화양초등학교,2792,02-2286-3704,서울특별시 광진구 화양동 12-2,127.0712012,37.54411143,3787,C:\\school\,광진구_서울화양초등학교.jpg
성동구,덕수고등학교(행당분교),17564,02-2286-3704,서울특별시 성동구 행당동 70-28,127.0421039,37.55537705,20777.27,C:\\school\,성동구_덕수고등학교(행당분교).jpg
성동구,성수공업고등학교,6900,02-2286-3704,서울특별시 성동구 성수동2가 333-128,127.0512992,37.54060724,17427.12,C:\\school\,성동구_성수공업고등학교.jpeg
금천구,서울흥일초등학교,2433,02-2165-2122,,,,4093.7,C:\\school\,금천구_서울흥일초등학교.jpg
강서구,서울염강초등학교,5538,02-2600-0922,서울특별시 강서구 가양동 1492,126.8643896,37.56102425,5162,C:\\school\,강서구_서울염강초등학교.jpg
강서구,공진중학교,3526,02-2600-0922,서울특별시 강서구 가양동 1476,126.8510679,37.56655964,6792,C:\\school\,강서구_공진중학교.jpg
성남시,구.영성여중,7098,031-780-2618,경기도 성남시 수정구 산성동5,127.1519235,37.45748118,7411,C:\\school\,성남시_구.영성여중.jpg
부천시,부천덕산초대장분교장,4788,032-620-0282,경기도 부천시 대장동196-1,126.790966,37.54214317,1357,C:\\school\,부천시_부천덕산초대장분교장.jpeg
부천시,구.복사초,5664,032-620-0282,경기도 부천시 소사구 소사본동 405,126.7988825,37.4675136,4877,C:\\school\,부천시_복사초등학교.jpg
안산시,구.화정초,2909,031-412-4653,경기도 안산시 단원구 화정동519,126.8235045,37.35866648,665,C:\\school\,안산시_구.화정초.jpg
안산시,대동초선감분교장,4428,031-412-4653,경기도 안산시 단원구 선감동667-2,126.6264592,37.23408362,929,C:\\school\,안산시_대남초풍도분교장.jpg
평택시,서탄초금각분교장,5672,031-650-1274,경기도 평택시 서탄면 금각리286-4,127.0086823,37.06888714,914,C:\\school\,평택시_서탄초금각분교장.jpg
평택시,내기초 신영분교장,6398,031-650-1274,경기도 평택시 포승읍 신영리 269-1,126.8780203,36.95557357,1018,C:\\school\,평택시_내기초신영분교장.jpg
평택시,구.평택중,8975,031-650-1274,경기도 평택시 비전동 469-8,127.0928344,36.99917475,9051,C:\\school\,평택시_구평택중.jpg
여주시,점동초당현분교장,4766,031-880-2318,경기도 여주시 점동면 당진리262-1,127.6827312,37.18502363,784,C:\\school\,여주시_점동초당현분교장.jpg
여주시,강천초강남분교장,6359,031-880-2318,경기도 여주시 강천면 굴암리9-3,127.7082641,37.24313867,929,C:\\school\,
여주시,대신초옥촌분교장,4440,031-880-2318,경기도 여주시 대신면 옥촌리830-1,127.6085015,37.39810778,476,C:\\school\,여주시_대신초옥천분교장.jpg
여주시,강천초걸은분교장,6128,031-880-2318,경기도 여주시 강천면 걸은리625-1,127.6983583,37.2931652,950,C:\\school\,여주시_강천초걸은분교장.jpg
여주시,점동초뇌곡분교장,5058,031-880-2318,경기도 여주시 점동면 뇌곡리172-1,127.6608165,37.1621445,1110,C:\\school\,여주시_점동초뇌곡분교장.jpg
여주시,북내초주암분교장,6169,031-880-2318,경기도 여주시 북내면 주암리173,127.6790808,37.39815898,1124,C:\\school\,여주시_북내초주암분교장.jpg
여주시,점동초안평분교장,3645,031-880-2318,경기도 여주시 점동면 장안리478,127.7114029,37.20272866,712,C:\\school\,여주시_점동초안평분교장.jpeg
화성시,비봉초유포분교장,2235,031-371-0752,경기도 화성시 비봉면 유포리307,126.840284,37.24755315,267,C:\\school\,화성시_비봉초유포분교장.jpeg
화성시,정문초,5616,031-371-0752,경기도 화성시 정남면 계향리411,126.9780738,37.15206502,1193,C:\\school\,화성시_정문초.jpg
화성시,마산초어도분교장,1767,031-371-0752,경기도 화성시 송산면 고포리826-1,126.6528136,37.24470829,0,C:\\school\,화성시_마산초어도분교장.jpg
화성시,창문초,6861,031-371-0752,경기도 화성시 남양읍 수화리236,126.815993,37.25799722,1432,C:\\school\,화성시_창문초.jpg
화성시,구.상신초,7115,031-371-0752,경기도 화성시 향남읍 상신리874,126.9007622,37.09390889,3087,C:\\school\,화성시_구.상신초.jpg
화성시,서신초제부분교장,7335,031-371-0752,경기도 화성시 서신면 제부리23-1,126.6269368,37.17013006,2765,C:\\school\,화성시_서신초제부분교장.jpg
광주시,만선초봉현분교장,3000,031-760-4057,경기도 광주시 곤지암읍 봉현리118-1,127.4053279,37.34331486,0,C:\\school\,광주시_만선초봉현분교장.jpg
광주시,분원초검천분교장,3654,031-760-4057,경기도 광주시 남종면 검천리114-1,127.3645729,37.52445519,775,C:\\school\,광주시_분원초검천분교장.jpeg
광주시,도수초삼성분교장,1547,031-760-4057,경기도 광주시 남종면 삼성리347,127.2795034,37.48304151,291,C:\\school\,
광주시,탄벌초목현분교장,3313,031-760-4057,경기도 광주시 목현동 418-1,127.2111047,37.43318606,0,C:\\school\,
양평군,금왕초,5160,031-770-5683,경기도 양평군 양동면 금왕리732,127.7325905,37.47308935,1088,C:\\school\,양평군_금왕초.jpg
양평군,강남초,5807,031-770-5683,경기도 양평군 강하면 동오리178-1,127.39921,37.46391841,756,C:\\school\,
양평군,청운초신론분교장,2500,031-770-5683,경기도 양평군 청운면 신론리291-3,127.7748159,37.56161311,1412,C:\\school\,양평군_청운초신론분교장.png
양평군,부안초명성분교장,2520,031-770-5683,경기도 양평군 단월면 명성리144-2,127.6700417,37.61544059,390,C:\\school\,양평군_부안초명성분교.png
양평군,석장초,3726,031-770-5683,경기도 양평군 개군면 석장리177,127.5152106,37.45598236,1009,C:\\school\,
양평군,양평단월초산음분교장,3588,031-770-5683,경기도 양평군 단월면 산음리231-1,127.6008082,37.60570792,723,C:\\school\,양평군_단월초등학교.jpeg
양평군,양평부안초,4855,031-770-5683,경기도 양평군 단월면 부안리236-1,127.6705904,37.56172236,1110,C:\\school\,양평군_부안초명성분교.png
양평군,양동초매월분교장,4447,031-770-5683,경기도 양평군 양동면 매월리803-1,127.7220995,37.43615058,923,C:\\school\,
양평군,계정초,4299,031-770-5683,경기도 양평군 양동면 계정리1000,127.7703927,37.4505184,1171,C:\\school\,양평군_계정초등학교.jpeg
양평군,양동초단석분교장,6283,031-770-5683,경기도 양평군 양동면 쌍학리357,127.7482506,37.40782498,1160,C:\\school\,양평군_양동초단석분교.jpeg
양평군,지평초일신분교장,3664,031-770-5683,경기도 양평군 지평면 일신리674,127.6866612,37.43393638,1180,C:\\school\,양평군_지평초일신분교.jpeg
양평군,양동초삼산분교장,4355,031-770-5683,경기도 양평군 양동면 삼산리632-11,127.7707668,37.40468988,855,C:\\school\,양평군_양동초삼산분교장.jpeg
양평군,청운초갈운분교장,4103,031-770-5683,경기도 양평군 청운면 갈운리472,127.7678142,37.54148989,799,C:\\school\,양평군_청운초갈운분교장.jpeg
이천시,율면초월포분교장,4977,031-639-5673,경기도 이천시 율면 월포리608-2,127.5791433,37.08921411,403,C:\\school\,양평군_율면초월포분교장.jpeg
이천시,부발초백록분교장,7264,031-639-5673,경기도 이천시 부발읍 고백리42-3,127.539832,37.29548268,1756,C:\\school\,양평군_부발초백록분교장.jpeg
이천시,진가초모가분교장,9724,031-639-5673,경기도 이천시 모가면 신갈리165-2,127.4486721,37.2021102,1102,C:\\school\,양평군_진가초등학교.jpeg
용인시,남사초서촌분교장,5085,031-8020-9357,경기도 용인시 처인구 남사읍 통삼리238-2,127.1321679,37.123042,0,C:\\school\,용인시_남사초서촌분교장.jpeg
용인시,어정초동진원분교장,1194,031-8020-9357,경기도 용인시 기흥구 중동 669,127.140757,37.28498966,0,C:\\school\,
용인시,남곡초 남곡분교장,8817,031-8020-9357,경기도 용인시 처인구 남사읍 아곡리 506,127.1670262,37.14036494,2068,C:\\school\,용인시_남곡초남곡분교장.jpeg
용인시,기흥중,6486,031-8020-9357,경기도 용인시 기흥구 신갈동 2-3,127.1088148,37.27913569,6495,C:\\school\,용인시_기흥중학교.jpeg
안성시,고삼초고동분교장,5318,031-678-5271,경기도 안성시 고삼면 쌍지리769-2,127.2912835,37.10111837,0,C:\\school\,
안성시,양성초방축분교장,2818,031-678-5271,경기도 안성시 양성면 방축리187-1,127.2394043,37.06602594,721,C:\\school\,
안성시,장암초금산분교장,4686,031-678-5271,경기도 안성시 일죽면 금산리232-1,127.5023947,37.07032583,696,C:\\school\,
안성시,공제초,9296,031-678-5271,경기도 안성시 공도읍 불당리63-2,127.1759952,36.98363204,1111,C:\\school\,
안성시,장암초,4565,031-678-5271,경기도 안성시 일죽면 장암리204,127.4701246,37.07719239,983,C:\\school\,
안성시,원곡초성은분교장,4370,031-678-5271,경기도 안성시 원곡면 성은리35-1,127.1600611,37.07711422,640,C:\\school\,
안성시,구.백성초,12410,031-678-5271,경기도 안성시 금산동 119,127.2675711,37.01081284,8469,C:\\school\,
안성시,서삼초,5613,031-678-5271,경기도 안성시 보개면 남풍리1070,127.3090849,37.08674718,1911,C:\\school\,
안성시,방초초,5660,031-678-5271,경기도 안성시 일죽면 방초리 459-2,127.433573,37.11950835,1744,C:\\school\,
동두천시,동두천초걸산분교장,1088,031-860-4372,경기도 동두천시 걸산동 50-8,127.1066021,37.9281978,0,C:\\school\,
양주시,가납초현암분교장,3405,031-870-4041,경기도 양주시 광적면 비암리231-4,126.9288449,37.80991939,0,C:\\school\,
양주시,유양초천성분교장,1015,031-870-4041,경기도 양주시 유양동 725,127.01104,37.79476414,0,C:\\school\,
고양시,백마초장항분교장,2178,031-900-2973,경기도 고양시 일산동구 장항동580-20,126.7695978,37.6385686,497,C:\\school\,
고양시,구.고양중,9773,031-900-2973,경기도 고양시 덕양구 삼송동45,126.8924502,37.65579663,5035,C:\\school\,
고양시,구.삼송초,2340,031-900-2973,경기도 고양시 덕양구 삼송동62,126.8961696,37.6563115,0,C:\\school\,
남양주시,남양주송촌초시우분교장,1869,031-550-6253,경기도 남양주시 조안면 시우리122-20,127.2958658,37.58750338,146,C:\\school\,
남양주시,마석초녹촌분교장,3696,031-550-6253,경기도 남양주시 화도읍 녹촌리272,127.2863444,37.6519294,431,C:\\school\,
파주시,용운초,6586,031-940-7334,경기도 파주시 적성면 객현리385-2,126.9482753,37.97375748,1343,C:\\school\,파주시_용운초.jpg
파주시,금곡초,4707,031-940-7334,경기도 파주시 법원읍 금곡리336-5,126.8777685,37.88458593,1017,C:\\school\,파주시_금곡초.jpg
파주시,법원초,6627,031-940-7334,경기도 파주시 법원읍 법원리500,126.8798817,37.85656491,2326,C:\\school\,파주시_법원초.png
파주시,적성초,7358,031-940-7334,경기도 파주시 적성면 가월리114-5,126.9179338,37.978149,1443,C:\\school\,파주시_적성초.jpg
파주시,구.교하중,10149,031-940-7334,경기도 파주시 다율동 56-8,126.7387547,37.74688023,2231,C:\\school\,파주시_구.교하중.png
파주시,신산초영장분교장,3737,031-940-7334,경기도 파주시 광탄면 영장리256-1,126.9084323,37.77634633,449,C:\\school\,파주시_신산초영장분교장.png
연천군,연천왕산초마전분교장(A),3017,031-839-0222,경기도 연천군 미산면 동이리596-1,126.9907596,38.02318834,517,C:\\school\,연천군_연천왕산초마전분교장(A).jpg
연천군,연천왕산초동중분교장,3740,031-839-0222,경기도 연천군 왕징면 동중리461-1,126.9534422,38.06886006,0,C:\\school\,연천군_연천왕산초동중분교장.png
연천군,연천초고문분교장,4469,031-839-0222,경기도 연천군 연천읍 고문리259-1,127.1130713,38.06522221,807,C:\\school\,연천군_연천초고문분교장.png
연천군,전곡초양원분교장,5642,031-839-0222,경기도 연천군 전곡읍 양원리560,127.0224201,37.99212921,551,C:\\school\,연천군_전곡초양원분교장.jpg
연천군,군남초북삼분교장,2432,031-839-0222,경기도 연천군 왕징면 북삼리160-4,127.004535,38.09532358,259,C:\\school\,연천군_군남초북삼분교장.jpg
연천군,옥계초,4057,031-839-0222,경기도 연천군 군남면 옥계리475-4,127.0469595,38.12034538,1246,C:\\school\,연천군_옥계초.jpg
연천군,백학초고랑포분교장,6490,031-839-0222,경기도 연천군 장남면 원당리678,126.8836261,37.98093234,1031,C:\\school\,연천군_백학초고랑포분교장.jpg
연천군,연천왕산초마전분교장(B),6439,031-839-0222,경기도 연천군 미산면 유촌리625,126.9884168,38.04926628,500,C:\\school\,연천군_연천왕산초마전분교장(B).jpg
연천군,구.군남초,6460,031-839-0222,경기도 연천군 군남면 삼거리597,127.0167155,38.0811045,2150,C:\\school\,연천군_구.군남초.png
연천군,전곡초적동분교장,4435,031-839-0222,경기도 연천군 전곡읍 늘목리111-2,127.0007035,37.94055863,745,C:\\school\,연천군_전곡초적동분교장.png
연천군,구.대광중,16773,031-839-0222,경기도 연천군 신서면 도신리228,127.1088207,38.17936368,2939,C:\\school\,연천군_구.대광중.jpg
